url,path,http_status,title,meta_description,canonical,h1,page_type,important_images,internal_link_count
https://onixdatacentres.com/,/,200,Onix Data Centre – Connecting Africa to the Globe,,https://onixdatacentres.com/,,homepage,https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-300x196.png|https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-1024x670.png|https://onixdatacentres.com/wp-content/uploads/2024/04/Images-collage-3.png,92
https://onixdatacentres.com/2020/11/21/why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house/,/2020/11/21/why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house/,200,"Why Africa Corporations Should Host Their Data in Carrier Neutral Data Centres, Not In House – Onix Data Centre",,https://onixdatacentres.com/2020/11/21/why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house/,"Why Africa Corporations Should Host Their Data in Carrier Neutral Data Centres, Not In House",article,https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-1024x670.png|https://onixdatacentres.com/wp-content/uploads/2020/11/why-african.jpg|https://onixdatacentres.com/wp-content/uploads/2019/12/blog-post.png,82
https://onixdatacentres.com/2020/12/21/broadband-the-most-effective-catalyst-for-development-in-emerging-markets/,/2020/12/21/broadband-the-most-effective-catalyst-for-development-in-emerging-markets/,200,Broadband – The Most Effective Catalyst for Development in Emerging Markets – Onix Data Centre,,https://onixdatacentres.com/2020/12/21/broadband-the-most-effective-catalyst-for-development-in-emerging-markets/,Broadband – The Most Effective Catalyst for Development in Emerging Markets,article,https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-1024x670.png|https://onixdatacentres.com/wp-content/uploads/2020/12/broadband-blog.jpg|https://onixdatacentres.com/wp-content/uploads/2022/11/Onix_white_logo.png,82
https://onixdatacentres.com/2020/12/21/challenges-in-data-centre-deployment-in-africa/,/2020/12/21/challenges-in-data-centre-deployment-in-africa/,200,Challenges in Data Centre Deployment in Africa – Onix Data Centre,,https://onixdatacentres.com/2020/12/21/challenges-in-data-centre-deployment-in-africa/,Challenges in Data Centre Deployment in Africa,article,https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-1024x670.png|https://onixdatacentres.com/wp-content/uploads/2020/12/challenges.jpg|https://onixdatacentres.com/wp-content/uploads/2019/12/blog-post.png,81
https://onixdatacentres.com/2020/12/21/connecting-the-unconnected-in-africa/,/2020/12/21/connecting-the-unconnected-in-africa/,200,Connecting the Unconnected (In Africa) – Onix Data Centre,,https://onixdatacentres.com/2020/12/21/connecting-the-unconnected-in-africa/,Connecting the Unconnected (In Africa),article,https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-1024x670.png|https://onixdatacentres.com/wp-content/uploads/2020/12/connect-unconnected.jpg|https://onixdatacentres.com/wp-content/uploads/2022/11/Onix_white_logo.png,81
https://onixdatacentres.com/2020/12/21/how-governments-can-help-grow-the-digital-economy-in-africa/,/2020/12/21/how-governments-can-help-grow-the-digital-economy-in-africa/,200,How Governments can Help Grow the Digital Economy in Africa – Onix Data Centre,,https://onixdatacentres.com/2020/12/21/how-governments-can-help-grow-the-digital-economy-in-africa/,How Governments can Help Grow the Digital Economy in Africa,article,https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-1024x670.png|https://onixdatacentres.com/wp-content/uploads/2020/12/govt.jpg|https://onixdatacentres.com/wp-content/uploads/2022/11/Onix_white_logo.png,82
https://onixdatacentres.com/2020/12/21/why-carrier-neutral-colocation-data-centres-will-predominate-in-africa/,/2020/12/21/why-carrier-neutral-colocation-data-centres-will-predominate-in-africa/,200,Why Carrier Neutral Colocation Data Centres will Predominate in Africa – Onix Data Centre,,https://onixdatacentres.com/2020/12/21/why-carrier-neutral-colocation-data-centres-will-predominate-in-africa/,Why Carrier Neutral Colocation Data Centres will Predominate in Africa,article,https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-1024x670.png|https://onixdatacentres.com/wp-content/uploads/2020/12/carrier-neutral.jpg|https://onixdatacentres.com/wp-content/uploads/2022/11/Onix_white_logo.png,82
https://onixdatacentres.com/2021/01/22/africa-drivers-of-growth-2021/,/2021/01/22/africa-drivers-of-growth-2021/,200,Africa – Drivers of growth – 2021 – Onix Data Centre,,https://onixdatacentres.com/2021/01/22/africa-drivers-of-growth-2021/,Africa – Drivers of growth – 2021,article,https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-1024x670.png|https://onixdatacentres.com/wp-content/uploads/2021/01/rural-scene-fruit-africa-kenya-farmer-market-bright-and-colorful-vendors-selling_t20_e968xm-934x1024.jpg|https://onixdatacentres.com/wp-content/uploads/2022/11/Onix_white_logo.png,81
https://onixdatacentres.com/2021/03/04/african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2/,/2021/03/04/african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2/,200,African Infrastructure Investment Managers Acquires Majority Stake in Ghana-based Data Centre – Onix Data Centre,,https://onixdatacentres.com/2021/03/04/african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2/,African Infrastructure Investment Managers Acquires Majority Stake in Ghana-based Data Centre,article,https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-1024x670.png|https://onixdatacentres.com/wp-content/uploads/2021/03/unnamed.png|https://onixdatacentres.com/wp-content/uploads/2021/03/unnamed-300x235.png,81
https://onixdatacentres.com/2021/04/06/why-african-data-centres-need-to-use-renewable-energy/,/2021/04/06/why-african-data-centres-need-to-use-renewable-energy/,200,Why African Data Centres Need To Use Renewable Energy – Onix Data Centre,,https://onixdatacentres.com/2021/04/06/why-african-data-centres-need-to-use-renewable-energy/,Why African Data Centres Need To Use Renewable Energy,article,https://onixdatacentres.com/wp-content/uploads/2021/10/ONIX-logo-png-1024x670.png|https://onixdatacentres.com/wp-content/uploads/2021/04/Africa-Data-image-1.jpg|https://onixdatacentres.com/wp-content/uploads/2022/11/Onix_white_logo.png,81
